ticker,company_name,industry_group,cik,fiscal_year,rd_expense_usd,rd_expense_musd,sec_fact_tag,form,filed_date,source_url,crawl_time,raw_file
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,0001159036,2013,96639575.0,96.639575,ResearchAndDevelopmentExpense,10-K,2014-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001159036_159bee7b7e45a0b7.json
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,0001159036,2014,79696000.0,79.696,ResearchAndDevelopmentExpense,10-K,2015-03-02,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001159036_159bee7b7e45a0b7.json
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,0001159036,2015,93236000.0,93.236,ResearchAndDevelopmentExpense,10-K,2016-02-29,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001159036_159bee7b7e45a0b7.json
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,0001159036,2016,150842000.0,150.842,ResearchAndDevelopmentExpense,10-K,2017-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001159036_159bee7b7e45a0b7.json
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,0001159036,2017,150643000.0,150.643,ResearchAndDevelopmentExpense,10-K,2018-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001159036_159bee7b7e45a0b7.json
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,0001159036,2018,150252000.0,150.252,ResearchAndDevelopmentExpense,10-K,2019-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001159036_159bee7b7e45a0b7.json
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,0001159036,2019,140804000.0,140.804,ResearchAndDevelopmentExpense,10-K,2020-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001159036_159bee7b7e45a0b7.json
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,0001159036,2020,34236000.0,34.236,ResearchAndDevelopmentExpense,10-K,2021-02-23,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001159036_159bee7b7e45a0b7.json
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,0001159036,2021,35672000.0,35.672,ResearchAndDevelopmentExpense,10-K,2022-02-22,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001159036_159bee7b7e45a0b7.json
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,0001159036,2022,66607000.0,66.607,ResearchAndDevelopmentExpense,10-K,2023-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001159036_159bee7b7e45a0b7.json
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,0001159036,2023,76363000.0,76.363,ResearchAndDevelopmentExpense,10-K,2024-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001159036_159bee7b7e45a0b7.json
HALO,"Halozyme Therapeutics, Inc.",Biotechnology,0001159036,2024,79048000.0,79.048,ResearchAndDevelopmentExpense,10-K,2025-02-18,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001159036_159bee7b7e45a0b7.json
UTHR,United Therapeutics Corporation,Biotechnology,0001082554,2010,166761000.0,166.761,ResearchAndDevelopmentExpense,10-K,2011-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0001082554.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001082554_4bae29245dd15329.json
UTHR,United Therapeutics Corporation,Biotechnology,0001082554,2011,180015000.0,180.015,ResearchAndDevelopmentExpense,10-K,2012-02-28,https://data.sec.gov/api/xbrl/companyfacts/CIK0001082554.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001082554_4bae29245dd15329.json
UTHR,United Therapeutics Corporation,Biotechnology,0001082554,2012,173387000.0,173.387,ResearchAndDevelopmentExpense,10-K,2013-02-26,https://data.sec.gov/api/xbrl/companyfacts/CIK0001082554.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001082554_4bae29245dd15329.json
UTHR,United Therapeutics Corporation,Biotechnology,0001082554,2013,299348000.0,299.348,ResearchAndDevelopmentExpense,10-K,2014-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0001082554.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001082554_4bae29245dd15329.json
UTHR,United Therapeutics Corporation,Biotechnology,0001082554,2014,242549000.0,242.549,ResearchAndDevelopmentExpense,10-K,2015-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0001082554.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001082554_4bae29245dd15329.json
UTHR,United Therapeutics Corporation,Biotechnology,0001082554,2015,245098000.0,245.098,ResearchAndDevelopmentExpense,10-K,2016-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0001082554.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001082554_4bae29245dd15329.json
UTHR,United Therapeutics Corporation,Biotechnology,0001082554,2016,147600000.0,147.6,ResearchAndDevelopmentExpense,10-K,2017-02-22,https://data.sec.gov/api/xbrl/companyfacts/CIK0001082554.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001082554_4bae29245dd15329.json
