ticker,company_name,industry_group,trade_date,trade_year,trade_month,open,high,low,close,adj_close,volume,daily_return,return_pct,source_url,crawl_time,raw_file
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-04,2024,2024-03,178.35000610351562,179.97999572753906,176.27999877929688,177.0500030517578,163.92263793945312,4723600,-0.0103962050507696,-1.03962050507696,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-05,2024,2024-03,177.7899932861328,179.58999633789062,177.7899932861328,179.16000366210938,165.87619018554688,5309800,0.0119175256733929,1.1917525673392901,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-06,2024,2024-03,178.39999389648438,182.16000366210935,178.10000610351562,181.05999755859372,167.63531494140625,6047100,0.0106050467754994,1.06050467754994,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-07,2024,2024-03,182.19000244140625,182.4199981689453,179.5399932861328,180.57000732421875,167.18162536621094,6125200,-0.0027064081059166,-0.27064081059166,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-08,2024,2024-03,179.74000549316406,182.13999938964844,178.67999267578125,178.85000610351562,165.5891876220703,6195600,-0.009525195969667,-0.9525195969667,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-11,2024,2024-03,178.41000366210938,181.25999450683597,178.24000549316406,179.6300048828125,166.31134033203125,5134800,0.004361110289454,0.43611102894540005,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-12,2024,2024-03,179.72000122070312,182.88999938964844,179.69000244140625,180.9199981689453,167.50570678710938,5391100,0.0071815094069571,0.71815094069571,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-13,2024,2024-03,182.5,182.50999450683597,179.4199981689453,179.86000061035156,166.5242919921875,5987900,-0.0058589931874333,-0.58589931874333,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-14,2024,2024-03,180.16000366210935,182.0399932861328,178.66000366210938,181.1999969482422,167.7649383544922,6999400,0.0074502425289573,0.74502425289573,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-15,2024,2024-03,179.83999633789062,180.5800018310547,177.5399932861328,177.8800048828125,164.6910858154297,20957800,-0.0183223775433181,-1.83223775433181,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-18,2024,2024-03,179.00999450683594,179.8800048828125,177.57000732421875,178.49000549316406,165.25587463378906,8569000,0.0034293830510798,0.34293830510798,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-19,2024,2024-03,178.19000244140625,179.92999267578125,178.19000244140625,179.66000366210938,166.339111328125,7625600,0.0065549058194536,0.65549058194536,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-20,2024,2024-03,179.22000122070312,179.22999572753906,175.72999572753906,176.27000427246094,163.20046997070312,7326600,-0.0188689318607125,-1.88689318607125,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-21,2024,2024-03,176.80999755859375,177.74000549316406,175.8800048828125,177.5,164.33926391601562,5743600,0.0069778839823007,0.69778839823007,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-22,2024,2024-03,177.22999572753906,178.99000549316406,176.77999877929688,178.4499969482422,165.21884155273438,4084400,0.00535220625771,0.535220625771,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-25,2024,2024-03,179.0,179.1999969482422,178.1300048828125,178.52999877929688,165.29287719726562,4366400,0.0004481065466592,0.04481065466592,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-26,2024,2024-03,179.22999572753906,179.77000427246094,178.3800048828125,179.19000244140625,165.9039764404297,4392400,0.0036970694292819,0.36970694292819,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-03-27,2024,2024-03,179.8000030517578,180.5800018310547,178.80999755859375,180.3500061035156,166.97796630859375,5073500,0.0064735631490406,0.64735631490406,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
