ticker,company_name,industry_group,cik,fiscal_year,rd_expense_usd,rd_expense_musd,rd_expense_busd,sec_fact_tag,form,filed_date,source_url,crawl_time,raw_file
BSX,Boston Scientific Corporation,Medical Devices,0000885725,2015,876000000.0,876.0,0.876,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2016-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885725.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000885725_81b33b39c6970865.json
BSX,Boston Scientific Corporation,Medical Devices,0000885725,2016,920000000.0,920.0,0.92,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2017-02-23,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885725.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000885725_81b33b39c6970865.json
BSX,Boston Scientific Corporation,Medical Devices,0000885725,2017,997000000.0,997.0,0.997,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2018-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885725.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000885725_81b33b39c6970865.json
BSX,Boston Scientific Corporation,Medical Devices,0000885725,2018,1113000000.0,1113.0,1.113,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2019-02-19,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885725.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000885725_81b33b39c6970865.json
BSX,Boston Scientific Corporation,Medical Devices,0000885725,2019,1174000000.0,1174.0,1.174,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2020-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885725.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000885725_81b33b39c6970865.json
BSX,Boston Scientific Corporation,Medical Devices,0000885725,2020,1143000000.0,1143.0,1.143,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2021-02-23,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885725.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000885725_81b33b39c6970865.json
BSX,Boston Scientific Corporation,Medical Devices,0000885725,2021,1204000000.0,1204.0,1.204,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2022-02-23,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885725.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000885725_81b33b39c6970865.json
BSX,Boston Scientific Corporation,Medical Devices,0000885725,2022,1323000000.0,1323.0,1.323,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2023-02-23,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885725.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000885725_81b33b39c6970865.json
BSX,Boston Scientific Corporation,Medical Devices,0000885725,2023,1414000000.0,1414.0,1.414,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2024-02-20,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885725.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000885725_81b33b39c6970865.json
BSX,Boston Scientific Corporation,Medical Devices,0000885725,2024,1615000000.0,1615.0,1.615,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2025-02-18,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885725.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000885725_81b33b39c6970865.json
BSX,Boston Scientific Corporation,Medical Devices,0000885725,2025,2052000000.0,2052.0,2.052,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10-K,2026-02-17,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885725.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000885725_81b33b39c6970865.json
CRSP,CRISPR Therapeutics AG,Biotechnology,0001674416,2016,42238000.0,42.238,0.042238,ResearchAndDevelopmentExpense,10-K,2017-03-10,https://data.sec.gov/api/xbrl/companyfacts/CIK0001674416.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001674416_719b2e98d8ea2c25.json
CRSP,CRISPR Therapeutics AG,Biotechnology,0001674416,2017,69800000.0,69.8,0.0698,ResearchAndDevelopmentExpense,10-K,2018-03-08,https://data.sec.gov/api/xbrl/companyfacts/CIK0001674416.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001674416_719b2e98d8ea2c25.json
CRSP,CRISPR Therapeutics AG,Biotechnology,0001674416,2018,113773000.0,113.773,0.113773,ResearchAndDevelopmentExpense,10-K,2019-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0001674416.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001674416_719b2e98d8ea2c25.json
CRSP,CRISPR Therapeutics AG,Biotechnology,0001674416,2019,179362000.0,179.362,0.179362,ResearchAndDevelopmentExpense,10-K,2020-02-12,https://data.sec.gov/api/xbrl/companyfacts/CIK0001674416.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001674416_719b2e98d8ea2c25.json
CRSP,CRISPR Therapeutics AG,Biotechnology,0001674416,2020,266946000.0,266.946,0.266946,ResearchAndDevelopmentExpense,10-K,2021-02-16,https://data.sec.gov/api/xbrl/companyfacts/CIK0001674416.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001674416_719b2e98d8ea2c25.json
CRSP,CRISPR Therapeutics AG,Biotechnology,0001674416,2021,438633000.0,438.633,0.438633,ResearchAndDevelopmentExpense,10-K,2022-02-15,https://data.sec.gov/api/xbrl/companyfacts/CIK0001674416.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001674416_719b2e98d8ea2c25.json
